,,,,,,,,,,,,,,,,,,2-Pt Field Goals,,,,,3-Pt Field Goals,,,,,,,,,,,,,,,,,,,,Offense Four Factors,,,,Defense Four Factors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Restricted Area,,,In the Paint (Non-RA),,,Mid-Range,,,Left Corner 3,,,Right Corner 3,,,Above the Break 3,,,Backcourt,,
,,,,,,% of FGA by Distance,,,,,,FG% by Distance,,,,,,,Dunks,,Layups,,,Corner,,Heaves,,Age,W,L,Expected Wins,Expected Losses,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,DRB%,FT/FGA,Arena,Attend.,Attend./G,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,Team ID,,FGM,FGA,FG%,FGM,FGA,FG%,FGM,FGA,FG%,FGM,FGA,FG%,FGM,FGA,FG%,FGM,FGA,FG%,,,
Rk,Team,G,MP,FG%,Average Distance,2P,0 to 3,3 to 10,10 to 16,16-3pt,3P,2P,0 to 3,3 to 10,10 to 16,16-3pt,3P,%Ast'd,%FGA,Md.,%FGA,Md.,%Ast'd,%3PA,3P%,Att.,Md.,25.4,24,58,27,55,-5.45,0.15,-5.3,105,110.6,-5.6,98.3,0.236,0.363,0.547,0.512,14.1,21.1,0.185,0.536,13.6,76.2,0.183,Philips Arena,"590,769","14,409",82,19705,38.8,86.9,0.446,11.4,31.5,0.36,27.4,55.4,0.495,16.1,20.5,0.785,9.2,33.4,42.6,24.1,7.9,4.3,15.8,19.9,105,1,1610612737,Atlanta Hawks,16.4,27,0.608,4.2,11.8,0.36,6.4,15.8,0.403,1.7,4.3,0.396,1.7,3.7,0.461,7.7,22.6,0.341,0,0.3,0
1,Atlanta Hawks,82,19705,0.446,13.6,0.637,0.279,0.131,0.105,0.122,0.363,0.495,0.635,0.351,0.399,0.411,0.36,0.52,0.052,309,0.288,1064,0.869,0.243,0.426,22,0,24.7,55,27,51,31,3.59,-0.35,3.23,107.6,103.9,3.7,96,0.243,0.357,0.552,0.518,13,21.5,0.188,0.495,13,78.4,0.191,TD Garden,"763,584","18,624",82,19805,39.6,88,0.45,11.8,31.4,0.377,27.8,56.6,0.491,16.5,21.4,0.771,9.7,36.3,46,23.2,7.6,4.7,14.5,20.4,107.6,2,1610612738,Boston Celtics,15,25.3,0.592,4.9,13,0.379,7,16.4,0.425,1.5,3.4,0.427,1.3,3.4,0.396,8.6,23.4,0.37,0,0.2,0
2,Boston Celtics*,82,19805,0.45,13.7,0.643,0.259,0.158,0.106,0.12,0.357,0.491,0.628,0.364,0.419,0.426,0.377,0.49,0.047,274,0.261,935,0.813,0.213,0.408,18,0,25.1,28,54,31,51,-3.74,0.07,-3.67,106.9,110.6,-3.7,98.9,0.26,0.411,0.551,0.514,13.6,21,0.201,0.517,11,77,0.201,Barclays Center,"640,010","15,376",82,19855,38.3,87,0.441,12.7,35.7,0.356,25.6,51.2,0.5,17.5,22.6,0.772,9.7,34.9,44.6,23.7,6.3,4.8,15.2,20.6,106.9,3,1610612751,Brooklyn Nets,16.4,26.5,0.617,5.5,14.6,0.38,3.6,10,0.363,1.4,4,0.363,1.4,3.7,0.375,9.9,27.8,0.355,0,0.1,0
3,Brooklyn Nets,82,19855,0.441,13.7,0.589,0.269,0.175,0.083,0.062,0.411,0.5,0.643,0.379,0.4,0.354,0.356,0.507,0.043,269,0.287,1098,0.844,0.201,0.376,13,1,26.6,36,46,42,40,0.26,-0.19,0.07,109.4,109.1,0.3,98.4,0.312,0.314,0.549,0.508,11.4,22.2,0.233,0.532,12.4,80.7,0.165,Spectrum Center,"671,404","16,376",82,19780,39.4,87.6,0.45,10.2,27.5,0.369,29.3,60.1,0.487,20.4,27.3,0.747,10.2,35.8,46,21.8,6.9,4.6,12.8,17.4,109.4,4,1610612766,Charlotte Hornets,16.2,26.5,0.612,5.7,14.1,0.401,7.1,18.9,0.375,0.8,2.4,0.356,0.8,2.1,0.374,8.4,22.5,0.374,0,0.3,0
4,Chicago Bulls,82,19855,0.435,13.6,0.65,0.254,0.165,0.095,0.135,0.35,0.478,0.624,0.39,0.388,0.377,0.355,0.51,0.039,261,0.25,942,0.848,0.184,0.372,15,0,24.4,27,55,23,59,-7.04,0.2,-6.84,103.8,110.9,-7.1,98.3,0.216,0.35,0.529,0.497,12.6,20.6,0.164,0.542,12.4,80.6,0.184,United Center,"851,824","20,776",82,19855,39,89.6,0.435,11.1,31.3,0.355,27.8,58.2,0.478,14.7,19.4,0.759,9.7,35.3,45,23.6,7.7,3.6,14.1,19.3,103.8,5,1610612741,Chicago Bulls,15.3,25.8,0.592,5.6,14.2,0.395,6.7,17.8,0.379,1.2,3.1,0.379,1.1,2.9,0.371,8.8,24.9,0.354,0,0.2,0
5,Charlotte Hornets,82,19780,0.45,13.2,0.686,0.273,0.16,0.114,0.138,0.314,0.487,0.642,0.38,0.408,0.37,0.369,0.484,0.046,300,0.268,1029,0.756,0.154,0.369,22,1,30.6,50,32,43,39,0.94,-0.35,0.59,112.9,111.9,1,98,0.275,0.379,0.584,0.547,12.6,20.1,0.214,0.54,12.2,77.3,0.166,Quicken Loans Arena,"843,042","20,562",82,19730,41.1,86.3,0.476,12.2,32.7,0.372,28.9,53.6,0.54,18.5,23.7,0.779,8.6,34.3,42.9,23.8,7.2,3.9,14,18.9,112.9,6,1610612739,Cleveland Cavaliers,18.6,27.1,0.685,3.5,9.6,0.369,6.3,16,0.396,1.8,4.4,0.412,1.7,4.2,0.412,8.4,23.4,0.36,0,0.2,0
6,Cleveland Cavaliers*,82,19730,0.476,13.8,0.621,0.297,0.113,0.092,0.119,0.379,0.54,0.706,0.368,0.413,0.387,0.372,0.478,0.051,319,0.269,1163,0.819,0.252,0.417,13,0,27.7,24,58,33,49,-3.04,0.34,-2.7,106.3,109.5,-3.2,95.6,0.217,0.382,0.544,0.513,11.6,18,0.166,0.532,12.9,78.9,0.193,American Airlines Center,"811,453","19,792",82,19805,39.6,89.2,0.444,12.3,34.1,0.36,27.4,55.2,0.496,14.8,19.4,0.763,8.4,34.4,42.9,23.5,7.3,3.9,12.8,20,106.3,7,1610612742,Dallas Mavericks,14.5,23.3,0.623,4.9,12.4,0.397,7,17.4,0.399,1.3,3.2,0.392,1.1,2.5,0.456,9.4,26.8,0.35,0,0.2,0
7,Dallas Mavericks,82,19805,0.444,14.4,0.618,0.241,0.135,0.105,0.137,0.382,0.496,0.652,0.4,0.385,0.405,0.36,0.491,0.048,295,0.222,850,0.824,0.169,0.416,20,0,25.1,46,36,45,37,1.48,0.09,1.57,112.5,111,1.5,96.8,0.258,0.357,0.57,0.536,13.4,25.7,0.198,0.539,12.6,77.5,0.173,Pepsi Center,"702,796","17,141",82,19880,41.6,88.5,0.47,11.7,31.6,0.371,29.9,56.9,0.525,17.5,22.8,0.767,11.2,34.3,45.5,25.7,7.8,5,15.3,19.1,112.5,8,1610612743,Denver Nuggets,18.2,28.6,0.634,6.3,15.4,0.412,4.8,11.7,0.407,1.1,2.8,0.394,1.2,2.7,0.455,9.1,25.1,0.364,0,0.3,0
8,Denver Nuggets,82,19880,0.47,12.8,0.643,0.275,0.204,0.09,0.074,0.357,0.525,0.664,0.424,0.441,0.391,0.371,0.526,0.055,356,0.302,1157,0.848,0.167,0.417,26,0,25.9,39,43,41,41,-0.15,-0.11,-0.26,107.2,107.3,-0.1,96.2,0.227,0.333,0.543,0.512,12.3,22.7,0.169,0.524,13.7,78.5,0.172,Little Caesars Arena,"713,945","17,413",82,19805,40.4,89.8,0.45,11.2,29.9,0.373,29.2,59.9,0.488,15.2,20.4,0.745,10.5,34.7,45.2,23.5,7.9,4,13.9,19,107.2,9,1610612765,Detroit Pistons,16,25.9,0.619,5.7,16.2,0.354,6.5,16,0.409,1.2,3.2,0.376,1.5,3.7,0.41,8.1,21.8,0.371,0,0.2,0.053
